logP,logA11,R21,VminusI,WI
0.250415214362425,0.513073661071843,0.475797721423078,0.733924318602805,0.133759437433563
0.998700708018917,0.39642674408244,0.569634637490996,0.491532151362794,0.423628335468397
0.649322022022535,0.628802656173216,0.525221736069447,0.411881450119079,0.495400825031078
0.357764270544719,0.432316774127783,0.307677799402634,0.59102937284996,0.310266553059974
0.753836414696306,0.391194169727435,0.507133763554151,0.607435829584546,0.301283882030747
0.815603075821084,0.7248058332344,0.554193189633727,0.3590897062715,0.771585370333722
0.749752995366054,0.277642369832925,0.417520685881896,0.538237629002382,0.385247562650575
0.75605732021151,0.510143913072131,0.522902348329277,0.631383964011643,0.239930935347284
0.0894172643727156,0.500969630582719,0.443341414200539,0.701111405133633,0.247441183058066
0.829094277280432,0.288070495611178,0.557773810510981,0.322307488753639,0.595611526734112
0.61554848700354,0.364118065635734,0.5011773351999,0.580047631648584,0.348676952101507
0.167423610444823,0.341825324327053,0.459229016979577,0.561656522889653,0.344864057109879
0.959259554935124,0.255547084160282,0.441838242825995,0.476845726382641,0.433923448208028
0.218899693536035,0.593351718098512,0.522662523799536,0.428684837258534,0.756760407988652
0.78946367463307,0.553751990291106,0.497512003420955,0.420349298756285,0.631829585221018
0.196253634880399,0.288485152446858,0.45603764350856,0.489547499338449,0.453056063480702
0.422748400481729,0.376501002210763,0.490307674547545,0.555967187086531,0.361481405989474
0.873103947997071,0.276109620458181,0.274300728578792,0.424450912939931,0.52206146374876
0.69075263965985,0.699367376824089,0.555285000967428,0.369542206933051,0.688871916354505
0.928634398230307,0.512441803036522,0.481901133760302,0.410426038634559,0.628028540718874
0.0847054388870132,0.487930154017864,0.527985165023665,0.630325482931993,0.289175644399992
0.753110842398715,0.330212464732572,0.505083141880192,0.551733262767928,0.34704158455265
0.995990553888513,0.310908708114415,0.537718951666008,0.397988885948664,0.5788727103373
0.0797714496089795,0.821252298198489,0.532257618696883,0.697142101084943,0.228201913380032
0.463577711063537,0.318577391379038,0.438179739948913,0.532945223604128,0.398828223599776
0.369558482421107,0.337659010406652,0.362674848341471,0.57369674517068,0.339362467366715
0.469366176465921,0.255137363715503,0.475629275177104,0.515744906059804,0.410459479028781
0.755644974447502,0.546631246416489,0.396552705301992,0.610743582958455,0.308450465546479
0.760973243422914,0.244097125465532,0.411766523097135,0.551204022228103,0.346063919170181
0.0797714496089795,0.430181785063123,0.511236470238182,0.580444562053453,0.277772510893562
0.756168646243711,0.704661409245811,0.574907525287261,0.610875893093411,0.433002072650611
0.984535935237545,0.391549589872303,0.528072640004683,0.470097909499868,0.567404399138706
0.929034781328574,0.719830938484424,0.549286786237486,0.349827996824557,0.900169106484943
0.956402919183404,0.324093808210847,0.516786091152832,0.446414395342683,0.533763822114673
